cat,medcodeid,aurumterm,disease_num,score
Any malignancy,118291012,cystosarcoma phyllodes,11,2
Any malignancy,379088010,carcinoma of rectum,11,2
Any malignancy,1815101000006115,hodgkin lymphoma nos,11,2
Any malignancy,746021000006112,letterer-siwe disease of lymph nodes inguinal region and leg,11,2
Any malignancy,173823013,"melanoma in situ of eyelid, including canthus",11,2
Any malignancy,826901000006119,"hodgkin's, lymphocytic-histiocytic pred axilla and arm",11,2
Any malignancy,307071000006118,[m]cloacogenic carcinoma,11,2
Any malignancy,1216464010,malignant neoplasm of caecum,11,2
Any malignancy,288717016,malignant neoplasm of body of pancreas,11,2
Any malignancy,2164653019,osteosarcoma,11,2
Any malignancy,403689019,malignant neoplasm of bronchus or lung nos,11,2
Any malignancy,305841000006110,[m]basaloid carcinoma,11,2
Any malignancy,288698019,malignant neoplasm of intrahepatic gall duct,11,2
Any malignancy,153282010,carcinoma in situ of perianal skin,11,2
Any malignancy,290901019,carcinoma in situ nos,11,2
Any malignancy,344451000006115,[v]personal history malignant neoplasm - male genital organ,11,2
Any malignancy,292156010,"[x]malignant neoplasm of endocrine gland, unspecified",11,2
Any malignancy,81461000006111,unspec malig neop lymphoid/histiocytic of multiple sites,11,2
Any malignancy,291676017,[m]carcinosarcoma nos,11,2
Any malignancy,103180017,mesothelioma,11,2
Any malignancy,826511000006114,hodgkin's lymphocytic depletion of intrapelvic lymph nodes,11,2
Any malignancy,155228014,malignant neoplasm of ethmoid bone,11,2
Any malignancy,311441000006112,"[m]lymphoma, diffuse or nos",11,2
Any malignancy,2124511000000117,follicular lymphoma grade 3b,11,2
Any malignancy,535541000006116,carcinoma in situ of digestive organs,11,2
Any malignancy,215912012,"[m]malignant lymphoma, small cleaved cell, diffuse",11,2
Any malignancy,2168691000000110,lymphoblastic (diffuse) lymphoma,11,2
Any malignancy,292116013,[x]melanoma and other malignant neoplasms of skin,11,2
Any malignancy,722901000006117,"malignant neoplasm of peripheral nerve,upp limb,incl should",11,2
Any malignancy,289750011,malignant histiocytosis of unspecified site,11,2
Any malignancy,308241000006115,[m]epithelioid leiomyosarcoma,11,2
Any malignancy,543481000006111,cervical carcinoma (uterus),11,2
Any malignancy,289099016,malignant neoplasm of skin of abdominal wall,11,2
Any malignancy,288917014,malignant neoplasm of first metacarpal bone,11,2
Any malignancy,454201010,malignant neoplasm of canthus,11,2
Any malignancy,308771000006115,"[m]follicular adenocarcinoma, well differentiated type",11,2
Any malignancy,344791000006117,[v]personal history of malig neop other intrathoracic organ,11,2
Any malignancy,289706010,hodgkin's disease nos of intra-abdominal lymph nodes,11,2
Any malignancy,721621000006110,malignant neoplasm of soft palate,11,2
Any malignancy,1227580012,[v]personal history of malignant neoplasm of bone,11,2
Any malignancy,292185016,[x]other leukaemia of unspecified cell type,11,2
Any malignancy,288363013,"malignant neoplasm of upper lip, inner aspect",11,2
Any malignancy,309081000006114,[m]giant cell carcinoma,11,2
Any malignancy,344846014,acute myelofibrosis,11,2
Any malignancy,288508018,malignant neoplasm of glossoepiglottic fold,11,2
Any malignancy,288887017,malignant neoplasm of lumbar vertebra,11,2
Any malignancy,1230392016,"[m]malignant lymphoma, large cell, diffuse nos",11,2
Any malignancy,169581000006112,reticulosarcoma - follicular or nodular,11,2
Any malignancy,2534468012,angioimmunoblastic t-cell lymphoma,11,2
Any malignancy,673681000006118,nodular lymphoma of lymph nodes of inguinal region and leg,11,2
Any malignancy,288807015,malignant neoplasm of larynx nos,11,2
Any malignancy,289450012,malignant neoplasm of trunk nos,11,2
Any malignancy,501272016,naevoid basal cell carcinoma syndrome,11,2
Any malignancy,154082012,letterer-siwe disease of intrathoracic lymph nodes,11,2
Any malignancy,153332015,carcinoma in situ of skin of foot,11,2
Any malignancy,304901000006115,[m]adenosarcoma,11,2
Any malignancy,729571000006113,"malig neop other site nasal cavity, middle ear and sinuses",11,2
Any malignancy,291653015,[m]leiomyosarcoma nos,11,2
Any malignancy,727531000006115,malignant neoplasm of branchial cleft,11,2
Any malignancy,289092013,malignant neoplasm of scalp,11,2
Any malignancy,414298014,enteropathy-associated t-cell lymphoma,11,2
Any malignancy,307531000006112,[m]dermoid cyst with malignant transformation,11,2
Any malignancy,673611000006113,nodular lymphoma (brill - symmers disease),11,2
Any malignancy,723221000006112,malignant neoplasm of other specified site small intestine,11,2
Any malignancy,288823015,malignant neoplasm of middle lobe bronchus,11,2
Any malignancy,289114012,malignant neoplasm of skin of thumb,11,2
Any malignancy,536641000006113,carcinoma in situ of skin of other parts of face,11,2
Any malignancy,153111018,carcinoma in situ of body of stomach,11,2
Any malignancy,291426011,[m]respiratory tract adenomas and adenocarcinomas,11,2
Any malignancy,81471000006116,unspec malig neop lymphoid/histiocytic of spleen,11,2
Any malignancy,288942017,malignant neoplasm of medial cuneiform,11,2
Any malignancy,799181000006112,gastric neoplasm,11,2
Any malignancy,289357011,malignant neoplasm of midbrain,11,2
Any malignancy,413089014,dermatofibrosarcoma protuberans,11,2
Any malignancy,304151000006118,[m] monocytoid b-cell lymphoma,11,2
Any malignancy,380095017,"carcinoma of lip, oral cavity and pharynx",11,2
Any malignancy,351251017,haemophagocytic lymphohistiocytosis,11,2
Any malignancy,225051000006119,plasmacytoma nos,11,2
Any malignancy,289600011,lymphosarcoma of lymph nodes of multiple sites,11,2
Any malignancy,289974015,myelomonocytic leukaemia,11,2
Any malignancy,288760013,malignant neoplasm of spleen nec,11,2
Any malignancy,154846015,hodgkin's granuloma of spleen,11,2
Any malignancy,292173012,[x]other types of diffuse non-hodgkin's lymphoma,11,2
Any malignancy,289660013,"hodgkin's disease, nodular sclerosis of unspecified site",11,2
Any malignancy,411516014,immunoproliferative neoplasm,11,2
Any malignancy,288351015,"malignant neoplasm of upper lip, vermilion border nos",11,2
Any malignancy,31698014,malignant hydatidiform mole,11,2
Any malignancy,288790018,"malignant neoplasm, overlapping lesion of accessory sinuses",11,2
Any malignancy,316211000006115,"[m]schwannoma, malignant",11,2
Any malignancy,288578017,malignant neoplasm of waldeyer's ring,11,2
Any malignancy,173941016,mesothelioma of pericardium,11,2
Any malignancy,1227552010,[v]personal history of malignant neoplasm of intestine,11,2
Any malignancy,290749015,carcinoma in situ of splenic flexure of colon,11,2
Any malignancy,289831019,"malignant lymphoma nos of lymph nodes of head, face and neck",11,2
Any malignancy,289928019,aleukaemic monocytic leukaemia,11,2
Any malignancy,727731000006113,malignant melanoma of upper limb and shoulder,11,2
Any malignancy,723441000006116,malignant neoplasm of parathyroid gland,11,2
Any malignancy,683351000006111,myeloproliferative disease,11,2
Any malignancy,845051000006111,lymphoma staging system,11,2
Any malignancy,2168841000000118,waldenstrom macroglobulinaemia,11,2
Any malignancy,291474011,[m]skin appendage carcinoma,11,2
Any malignancy,292083014,[m]monocytoid b-cell lymphoma,11,2
Any malignancy,288459019,malignant neoplasm of lower buccal sulcus,11,2
Any malignancy,289703019,"hodgkin's disease nos, unspecified site",11,2
Any malignancy,289580016,lymphosarcoma and reticulosarcoma,11,2
Any malignancy,396171000006118,[x]malignant melanoma of other+unspecified parts of face,11,2
Any malignancy,727781000006114,malignant neoplasm gallbladder and extrahepatic bile ducts,11,2
Any malignancy,155272012,malignant neoplasm of great vessels,11,2
Any malignancy,291429016,[m]papillary adenomas and adenocarcinomas,11,2
Any malignancy,406052010,"malignant neoplasm of lip, oral cavity and pharynx",11,2
Any malignancy,1235961012,[m]epithelial-myoepithelial carcinoma,11,2
Any malignancy,460264013,[v]personal history of malignant neoplasm of genital organ,11,2
Any malignancy,289786012,mast cell malignancy of intra-abdominal lymph nodes,11,2
Any malignancy,288654019,malignant neoplasm of posterior wall of stomach nec,11,2
Any malignancy,2659784018,carcinoma in situ,11,2
Any malignancy,153350010,carcinoma in situ of skin of thigh,11,2
Any malignancy,307271000006112,[m]cribriform carcinoma,11,2
Any malignancy,824231000006111,"histiocytosis x (acute, progressive)",11,2
Any malignancy,153367015,carcinoma in situ of stomach,11,2
Any malignancy,308191000006115,[m]epithelioid cell sarcoma,11,2
Any malignancy,289110015,malignant neoplasm of skin of upper arm,11,2
Any malignancy,215915014,[m]malignant histiocytosis,11,2
Any malignancy,288985014,malignant neoplasm of connective and soft tissue of thorax,11,2
Any malignancy,729441000006118,malig neop of connective and soft tissue of thorax nos,11,2
Any malignancy,1235115011,"[m]neoplasm, uncertain whether benign or malignant",11,2
Any malignancy,155501015,malignant neoplasm of sacrococcygeal region,11,2
Any malignancy,155305011,malignant neoplasm of intrahepatic bile ducts,11,2
Any malignancy,314421000006115,"[m]osteoclastoma, malignant",11,2
Any malignancy,316141000006113,[m]sarcoma botryoides,11,2
Any malignancy,153136012,carcinoma in situ of common bile duct,11,2
Any malignancy,340511000006111,[v]follow-up examination aft surgery for malignant neoplasm,11,2
Any malignancy,289079010,malignant neoplasm of skin of auricle (ear),11,2
Any malignancy,510074013,carcinoma in situ of pyloric canal,11,2
Any malignancy,304701000006118,[m]adenoid cystic carcinoma,11,2
Any malignancy,307131000006115,"[m]comedocarcinoma, noninfiltrating",11,2
Any malignancy,292146011,"[x]malignant neoplasm of male genital organ, unspecified",11,2
Any malignancy,720561000006111,"malignant neoplasm, overlap les bone and artic cart of limbs",11,2
Any malignancy,290856018,melanoma in situ of scalp and neck,11,2
Any malignancy,313391000006114,[m]myelomatosis,11,2
Any malignancy,201658011,di guglielmo's disease,11,2
Any malignancy,288916017,malignant neoplasm of carpal bone - hamate,11,2
Any malignancy,414849013,pancoast's syndrome,11,2
Any malignancy,155488014,malignant neoplasm of rectum,11,2
Any malignancy,155547011,malignant neoplasm of skin of perineum,11,2
Any malignancy,1215862010,"malignant neoplasm, overlapping lesion of oesophagus",11,2
Any malignancy,376870016,[m]fibroxanthosarcoma,11,2
Any malignancy,289260018,malignant neoplasm of penis and other male genital organ nos,11,2
Any malignancy,729461000006119,malig neop of connective and soft tissue trunk unspecified,11,2
Any malignancy,309351000006116,[m]glomangiosarcoma,11,2
Any malignancy,288964014,malignant neoplasm soft tissues of cervical spine,11,2
Any malignancy,289955011,other and unspecified leukaemia,11,2
Any malignancy,153265013,carcinoma in situ of oropharynx,11,2
Any malignancy,289015011,malignant melanoma of other and unspecified parts of face,11,2
Any malignancy,826621000006119,hodgkin's nodular sclerosis of inguinal region and leg,11,2
Any malignancy,727181000006113,malignant neoplasm of choroid,11,2
Any malignancy,316511000006118,[m]signet ring carcinoma,11,2
Any malignancy,288522018,malignant neoplasm of nasopharynx,11,2
Any malignancy,826121000006114,hodgkin's disease nos,11,2
Any malignancy,1228567011,malignant neoplasm of soft tissue of neck,11,2
Any malignancy,153318017,carcinoma in situ of skin of back,11,2
Any malignancy,289360016,malignant neoplasm of other parts of brain,11,2
Any malignancy,698821000006119,megakaryocytic myelosclerosis,11,2
Any malignancy,123978016,mantle cell lymphoma,11,2
Any malignancy,289121012,malignant neoplasm of skin of popliteal fossa area,11,2
Any malignancy,310971000006117,[m]leptomeningeal sarcoma,11,2
Any malignancy,289195012,malignant neoplasm of isthmus of uterine body nos,11,2
Any malignancy,155294016,malignant neoplasm of ilium,11,2
Any malignancy,720001000006119,"malignant neoplasm,overlap lesion periph nerve & auton ns",11,2
Any malignancy,155675017,malignant neoplasm of visceral pleura,11,2
Any malignancy,403760010,"[m]lymphogranuloma, malignant",11,2
Any malignancy,1228259019,[m]infiltrating duct and lobular carcinoma,11,2
Any malignancy,720491000006119,malignant neoplasm posterior margin nasal septum and choanae,11,2
Any malignancy,403691010,malignant neoplasm of bone and articular cartilage,11,2
Any malignancy,289888017,other lymphoid leukaemia nos,11,2
Any malignancy,728571000006118,"malignant histiocytosis of lymph nodes head, face and neck",11,2
Any malignancy,289934014,other specified leukaemia,11,2
Any malignancy,536561000006111,carcinoma in situ of skin of leg,11,2
Any malignancy,288962013,malignant neoplasm of cartilage of ear,11,2
Any malignancy,723281000006111,malignant neoplasm of ovary,11,2
Any malignancy,290777012,carcinoma in situ of thyroid cartilage,11,2
Any malignancy,457319014,seminoma of descended testis,11,2
Any malignancy,289190019,malignant neoplasm of endometrium of corpus uteri,11,2
Any malignancy,289051016,malignant melanoma of lower leg,11,2
Any malignancy,730031000006113,"malig neop connective and soft tissue head, face, neck nos",11,2
Any malignancy,288437016,malignant neoplasm of other major salivary glands,11,2
Any malignancy,289280017,"malignant neoplasm, overlapping lesion of bladder",11,2
Any malignancy,289449012,malignant neoplasm of back nos,11,2
Any malignancy,289425014,malignant neoplasm of head nos,11,2
Any malignancy,288433017,"malignant neoplasm of tongue, junctional zone",11,2
Any malignancy,155542017,malignant neoplasm of skin of lip,11,2
Any malignancy,289088018,malignant neoplasm of skin of nose (external),11,2
Any malignancy,311221000006116,[m]lobular carcinoma in situ,11,2
Any malignancy,288594012,malignant neoplasm of thoracic oesophagus,11,2
Any malignancy,1222219012,[m]lymphocytic lymphoma nos,11,2
Any malignancy,288901015,malignant neoplasm of humerus,11,2
Any malignancy,342851019,primary angiosarcoma of liver,11,2
Any malignancy,1785811000006114,[m]sarcomatoid mesothelioma,11,2
Any malignancy,126918018,lymphoma stage ii,11,2
Any malignancy,153155012,carcinoma in situ of ethmoidal sinus,11,2
Any malignancy,288928013,malignant neoplasm of sacral vertebra,11,2
Any malignancy,291903011,"[m]malignant lymphoma, lymphocytic, well differentiated nos",11,2
Any malignancy,1884191000006113,crv smr - hi grade dyskaryosis? invasive squamous carcinoma,11,2
Any malignancy,288372017,"malignant neoplasm of upper lip, frenulum",11,2
Any malignancy,1227561010,[v]personal history of malignant neoplasm of trachea,11,2
Any malignancy,289308013,malignant neoplasm of ciliary body,11,2
Any malignancy,289968015,subacute leukaemia nos,11,2
Any malignancy,288692018,primary malignant neoplasm of liver nos,11,2
Any malignancy,308761000006110,"[m]follicular adenocarcinoma, trabecular type",11,2
Any malignancy,826261000006110,"hodgkin's disease, lymphocytic-histiocytic predominance",11,2
Any malignancy,292214019,[x]other carcinoma in situ of breast,11,2
Any malignancy,826361000006117,hodgkin's granuloma lymph nodes of inguinal region and leg,11,2
Any malignancy,482730011,malignant neoplasm of frontal lobe,11,2
Any malignancy,1228552012,malignant neoplasm of nasal cavities,11,2
Any malignancy,289601010,lymphosarcoma nos,11,2
Any malignancy,288806012,"malignant neoplasm of larynx, other specified site",11,2
Any malignancy,288970015,malignant neoplasm of connective and soft tissue of hand,11,2
Any malignancy,315501000006113,[m]pleomorphic carcinoma,11,2
Any malignancy,1232905013,[m]dedifferentiated liposarcoma,11,2
Any malignancy,154090012,letterer-siwe disease of spleen,11,2
Any malignancy,153256018,carcinoma in situ of nasal cavity,11,2
Any malignancy,81421000006117,unspec malig neop lymphoid/histiocytic lymph node head/neck,11,2
Any malignancy,621091000006113,"diffuse non-hodgkin's lymphoma, unspecified",11,2
Any malignancy,288986010,malignant neoplasm of connective and soft tissue of axilla,11,2
Any malignancy,289355015,malignant neoplasm of cerebral peduncle,11,2
Any malignancy,289783016,mast cell malignancy of unspecified site,11,2
Any malignancy,289108017,malignant neoplasm of skin of upper limb and shoulder,11,2
Any malignancy,725191000006116,malignant neoplasm of hepatic flexure of colon,11,2
Any malignancy,460263019,[v]personal history of malignant neoplasm of breast,11,2
Any malignancy,289639019,hodgkin's sarcoma of unspecified site,11,2
Any malignancy,312331000006117,[m]meningeal sarcomatosis,11,2
Any malignancy,155231010,malignant neoplasm of exocervix,11,2
Any malignancy,1232564019,[m]intraductal papillary adenocarcinoma with invasion,11,2
Any malignancy,291891018,"[m]malignant lymphoma, diffuse nos",11,2
Any malignancy,289031015,malignant melanoma of groin,11,2
Any malignancy,1216488012,malignant neoplasm of oesophagus,11,2
Any malignancy,289842011,malignant lymphoma nos of intra-abdominal lymph nodes,11,2
Any malignancy,289389019,malignant neoplasm of peripheral nerve of abdomen,11,2
Any malignancy,155592016,malignant neoplasm of sternum,11,2
Any malignancy,153317010,carcinoma in situ of skin of axilla,11,2
Any malignancy,289845013,malignant lymphoma nos of intrapelvic lymph nodes,11,2
Any malignancy,290841010,carcinoma in situ of skin of upper limb or shoulder nos,11,2
Any malignancy,727841000006110,malignant neoplasm of acoustic nerve,11,2
Any malignancy,291931019,"[m]hodgkin's disease, lymphocytic predominance",11,2
Any malignancy,154863016,hodgkin's sarcoma of intrapelvic lymph nodes,11,2
Any malignancy,722541000006111,malignant neoplasm of retromolar area,11,2
Any malignancy,720161000006119,malignant reticuloendotheliosis,11,2
Any malignancy,535981000006118,carcinoma in situ of nasal sinuses,11,2
Any malignancy,315161000006117,[m]parosteal osteosarcoma,11,2
Any malignancy,1227565018,[v]personal history of malignant neoplasm of nose,11,2
Any malignancy,289972016,leukaemia nos,11,2
Any malignancy,153180012,carcinoma in situ of glottis,11,2
Any malignancy,155421017,malignant neoplasm of occipital bone,11,2
Any malignancy,311091000006110,"[m]leydig cell tumour, malignant",11,2
Any malignancy,728721000006111,malignant lymphoma nos,11,2
Any malignancy,291700017,[m]clear cell sarcoma of tendons and aponeuroses,11,2
Any malignancy,728451000006110,malig neopl of connective and soft tissue - sacrum or coccyx,11,2
Any malignancy,153276012,carcinoma in situ of parathyroid gland,11,2
Any malignancy,311361000006117,[m]lymphoblastoma nos,11,2
Any malignancy,1220414014,"hodgkin's disease, nodular sclerosis",11,2
Any malignancy,288711015,malignant neoplasm of sphincter of oddi,11,2
Any malignancy,153174016,carcinoma in situ of fundus of stomach,11,2
Any malignancy,288771014,malignant neoplasm of cartilage of nose,11,2
Any malignancy,396501000006117,"[x]malignant neoplasm/connective + soft tissue,unspecified",11,2
Any malignancy,288809017,malignant neoplasm of cartilage of trachea,11,2
Any malignancy,721961000006111,malignant neoplasm of septum of nose,11,2
Any malignancy,309741000006117,[m]haemangiosarcoma,11,2
Any malignancy,1231544010,[m]neuroendocrine carcinoma,11,2
Any malignancy,763421000006116,follicular lymphoma nos,11,2
Any malignancy,153288014,carcinoma in situ of pleura,11,2
Any malignancy,720021000006112,"malignant neoplasm/bones+articular cartilage/limb,unspfd",11,2
Any malignancy,556501000000116,squamous cell carcinoma of skin nos,11,2
Any malignancy,292142013,"[x]malignant neoplasm of female genital organ, unspecified",11,2
Any malignancy,1227572017,[v]personal history of malignant neoplasm of cervix uteri,11,2
Any malignancy,826521000006118,hodgkin's lymphocytic depletion of intrathoracic lymph nodes,11,2
Any malignancy,405081000006118,"[x]oth spcf mal neoplsm/lymphoid,haematopoietic+rltd tissue",11,2
Any malignancy,403682011,malignant neoplasm of colon nos,11,2
Any malignancy,728771000006112,malignant lymphoma nos of lymph node inguinal region and leg,11,2
Any malignancy,289181014,malignant neoplasm of other site of cervix nos,11,2
Any malignancy,638841000000113,siewert type i adenocarcinoma,11,2
Any malignancy,288885013,malignant neoplasm of cervical vertebra,11,2
Any malignancy,289251014,malignant neoplasm of other male genital organ,11,2
Any malignancy,289790014,mast cell malignancy of spleen,11,2
Any malignancy,723321000006117,malignant neoplasm of overlapping lesion of tonsil,11,2
Any malignancy,289776011,letterer-siwe disease of unspecified sites,11,2
Any malignancy,155191015,malignant neoplasm of clavicle,11,2
Any malignancy,311431000006119,[m]lymphoma nos,11,2
Any malignancy,315971000006110,"[m]reticulosarcoma, nodular",11,2
Any malignancy,155669014,malignant neoplasm of ventral surface of tongue,11,2
Any malignancy,1216363017,[v]personal history of other haematopoietic neoplasm,11,2
Any malignancy,729431000006111,malig neop of connective and soft tissue of pelvis nos,11,2
Any malignancy,288406016,malignant neoplasm of other sites of lip,11,2
Any malignancy,310321000006119,[m]infiltrating ductular carcinoma,11,2
Any malignancy,720571000006116,"malignant neoplasm, overlap lesion connective & soft tissue",11,2
Any malignancy,1227566017,[v]personal history of malignant neoplasm of testis,11,2
Any malignancy,289383018,malignant neoplasm of spinal meninges nos,11,2
Any malignancy,288454012,malignant neoplasm of upper buccal sulcus,11,2
Any malignancy,1228575017,malignant neoplasm of prepuce (foreskin),11,2
Any malignancy,677881000006110,neoplasms,11,2
Any malignancy,1227569012,[v]personal history of malignant neoplasm of prostate,11,2
Any malignancy,289316016,malignant neoplasm of eyeball nos,11,2
Any malignancy,289442015,malignant neoplasm of inguinal region nos,11,2
Any malignancy,288888010,malignant neoplasm of vertebral column nos,11,2
Any malignancy,1230735015,[m]sezary's disease,11,2
Any malignancy,291900014,"[m]malignant lymphoma, centroblastic-centrocytic, diffuse",11,2
Any malignancy,288912015,malignant neoplasm of carpal bone - pisiform,11,2
Any malignancy,305531000006115,[m]angiomyosarcoma,11,2
Any malignancy,1228570010,cancer of ovary,11,2
Any malignancy,403702017,malignant neoplasm of testis nos,11,2
Any malignancy,288507011,"malignant neoplasm of epiglottis, free border",11,2
Any malignancy,288471013,malignant neoplasm of palate nos,11,2
Any malignancy,721291000006110,malignant neoplasm of thyroid gland,11,2
Any malignancy,289826016,malignant immunoproliferative small intestinal disease,11,2
Any malignancy,724401000006116,"malignant neoplasm of lower lip, mucosa",11,2
Any malignancy,306401000006115,"[m]carcinoma, diffuse type",11,2
Any malignancy,288802014,malignant neoplasm of thyroid cartilage,11,2
Any malignancy,290778019,carcinoma in situ of cricoid cartilage,11,2
Any malignancy,344819016,myelomatosis,11,2
Any malignancy,841331000006115,cancer of bowel,11,2
Any malignancy,288757018,malignant neoplasm of retroperitoneum and peritoneum nos,11,2
Any malignancy,288419017,"malignant neoplasm of tongue, tip and lateral border",11,2
Any malignancy,290741017,carcinoma in situ of stomach nos,11,2
Any malignancy,288819011,malignant neoplasm of upper lobe bronchus,11,2
Any malignancy,451429010,follicular non-hodgkin's lymphoma,11,2
Any malignancy,726261000006112,malignant neoplasm of eyelid including canthus,11,2
Any malignancy,311621000006119,"[m]malig lymphoma, lymphocytic, well differentiated,nodular",11,2
Any malignancy,316931000006117,"[m]squamous cell carcinoma, large cell, non-keratinising",11,2
Any malignancy,289912012,myeloid leukaemia nos,11,2
Any malignancy,289427018,malignant neoplasm of nose nos,11,2
Any malignancy,288734012,malignant neoplasm of ectopic pancreatic tissue,11,2
Any malignancy,310791000006118,[m]juxtacortical chondrosarcoma,11,2
Any malignancy,460271015,[v]personal history of unspecified malignant neoplasm,11,2
Any malignancy,155525011,malignant neoplasm of skin of chin,11,2
Any malignancy,311391000006113,[m]lymphoepithelial carcinoma,11,2
Any malignancy,153218019,carcinoma in situ of larynx,11,2
Any malignancy,535711000006110,carcinoma in situ of gall bladder,11,2
Any malignancy,288589012,malignant neoplasm of cervical oesophagus,11,2
Any malignancy,291913015,[m]malignant lymphomatous polyposis,11,2
Any malignancy,289196013,malignant neoplasm of overlapping lesion of corpus uteri,11,2
Any malignancy,109381000006117,teratoma of testis,11,2
Any malignancy,396491000006113,"[x]malignant neoplasm/central nervous system, unspecified",11,2
Any malignancy,482737014,malignant neoplasm of cerebral meninges,11,2
Any malignancy,291472010,[m]skin appendage adenoma and carcinoma,11,2
Any malignancy,309811000006113,[m]hepatoblastoma,11,2
Any malignancy,1222626017,[m]small cell-large cell carcinoma,11,2
Any malignancy,292208014,[x]carcinoma in situ of other parts of cervix,11,2
Any malignancy,291442016,[m]clear cell adenomas and adenocarcinomas,11,2
Any malignancy,288921019,malignant neoplasm of fifth metacarpal bone,11,2
Any malignancy,316951000006112,"[m]squamous cell carcinoma, microinvasive",11,2
Any malignancy,304531000006116,[m]adenocarcinoma in adenomatous polyp,11,2
Any malignancy,304651000006112,[m]adenocarcinoma with squamous metaplasia,11,2
Any malignancy,153143018,carcinoma in situ of duodenum,11,2
Any malignancy,153157016,carcinoma in situ of exocervix,11,2
Any malignancy,289702012,hodgkin's disease nos,11,2
Any malignancy,313561000006113,[m]myxoliposarcoma,11,2
Any malignancy,288883018,malignant neoplasm of bones of skull and face nos,11,2
Any malignancy,289709015,hodgkin's disease nos of intrapelvic lymph nodes,11,2
Any malignancy,1228509012,malignant neoplasm of posterior third of tongue,11,2
Any malignancy,290794014,carcinoma in situ of bronchus or lung nos,11,2
Any malignancy,1232439019,[m]synovial sarcoma nos,11,2
Any malignancy,292100011,[x]other sarcomas of the liver,11,2
Any malignancy,826501000006111,"hodgkin's lymphocytic depletion of head, face and neck",11,2
Any malignancy,288697012,malignant neoplasm of intrahepatic canaliculi,11,2
Any malignancy,728591000006117,malignant histiocytosis of lymph nodes of axilla and arm,11,2
Any malignancy,289713010,other malignant neoplasm of lymphoid and histiocytic tissue,11,2
Any malignancy,292201015,[x]carcinoma in situ of other parts of respiratory system,11,2
Any malignancy,289741014,"sezary's disease of lymph nodes of head, face and neck",11,2
Any malignancy,314621000006117,[m]oxyphilic adenocarcinoma,11,2
Any malignancy,316401000006117,[m]serous surface papillary carcinoma,11,2
Any malignancy,288387010,"malignant neoplasm of lower lip, inner aspect nos",11,2
Any malignancy,317191000006118,[m]superficial spreading adenocarcinoma,11,2
Any malignancy,292191019,"[x]diffuse non-hodgkin's lymphoma, unspecified",11,2
Any malignancy,289793011,malignant mast cell tumour nos,11,2
Any malignancy,289437011,malignant neoplasm of intrathoracic site nos,11,2
Any malignancy,155552018,malignant neoplasm of skin of thigh,11,2
Any malignancy,1222303015,"[m]teratoma, malignant, nos",11,2
Any malignancy,727791000006112,malignant neoplasm gallbladder/extrahepatic bile ducts nos,11,2
Any malignancy,155072018,malignant neoplasm of adrenal gland,11,2
Any malignancy,292174018,[x]other specified types of non-hodgkin's lymphoma,11,2
Any malignancy,305271000006115,[m]ameloblastic odontosarcoma,11,2
Any malignancy,370111000006119,[x]carcinoma in situ of oth+unspecified male genital organs,11,2
Any malignancy,288362015,"malignant neoplasm of upper lip, oral aspect",11,2
Any malignancy,289382011,malignant neoplasm of spinal pia mater,11,2
Any malignancy,288546013,malignant neoplasm of pharyngeal recess,11,2
Any malignancy,288505015,malignant neoplasm of tonsillar fossa nos,11,2
Any malignancy,289438018,malignant neoplasm of thorax nos,11,2
Any malignancy,314671000006116,[m]paget's disease and infiltrating breast duct carcinoma,11,2
Any malignancy,153343011,carcinoma in situ of skin of neck,11,2
Any malignancy,288509014,malignant neoplasm of anterior epiglottis nos,11,2
Any malignancy,729371000006118,malig neop of connective and soft tissue of abdomen nos,11,2
Any malignancy,292158011,[x]malignant neoplasm of other specified sites,11,2
Any malignancy,310161000006110,[m]hurthle cell adenocarcinoma,11,2
Any malignancy,723391000006115,malignant neoplasm of palatopharyngeal arch,11,2
Any malignancy,289297011,malignant neoplasm of other urinary organs,11,2
Any malignancy,289353010,malignant neoplasm of floor of cerebral ventricle,11,2
Any malignancy,39671000006114,oth and unspecif peripheral & cutaneous t-cell lymphomas,11,2
Any malignancy,289049015,malignant melanoma of knee,11,2
Any malignancy,289279015,malignant neoplasm of other site of urinary bladder,11,2
Any malignancy,35572018,clark melanoma level 3,11,2
Any malignancy,153248016,carcinoma in situ of meckel's diverticulum,11,2
Any malignancy,311881000006116,"[m]malignant lymphoma, small cell, noncleaved, diffuse",11,2
Any malignancy,451077018,anaemia in ovarian carcinoma,11,2
Any malignancy,729401000006115,malig neop of connective and soft tissue of hip and leg,11,2
Any malignancy,289184018,choriocarcinoma,11,2
Any malignancy,291623010,[m]sarcomatosis nos,11,2
Any malignancy,304771000006112,[m]adenoma or or adenocarcinoma in polyposis coli,11,2
Any malignancy,288556012,malignant neoplasm of nasopharyngeal soft palate surface,11,2
Any malignancy,727761000006116,"malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",11,2
Any malignancy,721351000006110,malignant neoplasm of tonsil,11,2
Any malignancy,289612010,burkitt's lymphoma nos,11,2
Any malignancy,291414018,"[m]carcinoid tumour, malignant",11,2
Any malignancy,288550018,malignant neoplasm of lateral wall of nasopharynx nos,11,2
Any malignancy,728201000006110,malignant melanoma of eyelid including canthus,11,2
Any malignancy,207325017,t/nk-cell lymphoma,11,2
Any malignancy,723571000006111,malignant neoplasm of oropharynx,11,2
Any malignancy,291661013,[m]myoma and myosarcoma,11,2
